的	〔白勹丶󰁶・rqyy〕
羞	〔䒑󰀠󰁈二・ugnf〕
葛	〔艹日勹󰄃・ajqn〕
骄	〔󰀊󰀞丿󰀯・cgtj〕
悼	〔忄󰀥日十・nhjf〕
庸	〔广󰁬月丨・oveh〕
蒂	〔艹亠丷丨・ayuh〕
宰	〔宀立十󰀬・pufj〕
渴	〔氵日勹󰄃・ijqn〕
肆	〔󰀍厶󰁬󰀟・dcvg〕
魔	〔广木木厶・ossc〕
榨	〔木宀八二・spwf〕
蔗	〔艹广廿灬・aoao〕
秆	〔禾干󰀢・tfh〕
鹏	〔月月勹一・eeqg〕
灶	〔火土󰀝・ofg〕
肤	〔月二人󰁶・efwy〕
怜	〔忄人丶󰁻・nwyc〕
捻	〔扌人丶心・rwyn〕
俊	〔亻厶八夂・wcwt〕
恼	〔忄亠乂凵・nyrb〕
滞	〔氵一〣丨・igkh〕
凹	〔丨󰁎󰀽一・hnmg〕
倚	〔亻大丁口・wdsk〕
祭	〔󰁯二小󰁧・wfiu〕
葬	〔艹一夕廾・agqa〕
拢	〔扌ヒ丶・rdxy〕
慈	〔䒑ㄠㄠ心・uxxn〕
砸	〔石匚冂丨・damh〕
衍	〔彳氵一丁・tigs〕
嗓	〔口又又木・kccs〕
凿	〔󰅊一䒑凵・ogub〕
唇	〔厂二󰀖口・dfek〕
尿	〔尸水󰀦・nii〕
衫	〔衤󰁧彡ノ・puet〕
衔	〔彳钅一丁・tqgs〕
拐	〔扌口力ノ・rket〕
脾	〔月白丿十・ertf〕
锯	〔钅尸古󰀝・qndg〕
傲	〔亻主󰁡夂・wgqt〕
萝	〔艹罒夕󰁧・alqu〕
猎	〔犭ノ󰁺日・qtaj〕
夷	〔一弓人󰀦・gxwi〕
贞	〔󰀥贝󰁧・hmu〕
昙	〔日二厶󰁧・jfcu〕
罕	〔冖八干󰀬・pwfj〕
厦	〔厂丆目夂・ddht〕
愉	〔忄人一刂・nwgj〕
扔	〔扌乃ノ・rbt〕
邪	〔󰀂亅丿阝・ahtb〕
坊	〔土方ノ・fyt〕
媒	〔女艹二木・vafs〕
脊	〔󰀪人月󰀘・iwef〕
蕴	〔艹纟日皿・axjl〕
呖	〔口厂力ノ・kdet〕
芒	〔艹亠󰄃󰀅・aynb〕
烫	〔氵ㄋ󰁤火・inro〕
恳	〔彐󰀖心󰁧・venu〕
哇	〔口土土󰀝・kffg〕
蛇	〔虫宀匕󰁀・jpxn〕
诏	〔讠刀口󰀝・yvkg〕
昼	〔尸󰂃日一・nyjg〕
铭	〔钅夕口󰀝・qqkg〕
镁	〔钅丷王大・qugd〕
帕	〔冂丨白󰀝・mhrg〕
冈	〔冂乂󰀦・mri〕
胖	〔月丷󰀟󰀢・eugh〕
刨	〔勹巳刂󰀢・qnjh〕
枚	〔木夂󰁶・sty〕
寓	〔宀日冂丶・pjmy〕
荫	〔艹阝月󰀘・abef〕
辰	〔厂二󰀖󰀦・dfei〕
贩	〔贝⺁又󰁶・mrcy〕
娓	〔女尸丿乚・vntn〕
猫	〔犭ノ艹田・qtal〕
笛	〔⺮由󰀘・tmf〕
盯	〔目丁󰀢・hsh〕
锈	〔钅禾乃ノ・qtbt〕
贾	〔覀贝󰁧・smu〕
藤	〔艹月䒑氺・aeui〕
楔	〔木三丨大・sdhd〕
衷	〔亠口丨󰀔・ykhe〕
僵	〔亻一田一・wglg〕
斩	〔车斤󰀢・lrh〕
扁	〔丶尸冂艹・ynma〕
谕	〔讠人一刂・ywgj〕
淑	〔氵󰀥一又・ihgc〕
厢	〔厂木目󰀌・dshd〕
甩	〔月乚󰁫・env〕
蚕	〔一大虫󰁧・gdju〕
禽	〔人亠乂厶・wyrc〕
匆	〔勹󰁤丶󰀦・qryi〕
捏	〔扌日土󰀝・rjfg〕
瞎	〔目宀三口・hpdk〕
忌	〔己心󰁧・nnu〕
孕	〔乃子󰀘・bbf〕
荆	〔艹一廾刂・agaj〕
俭	〔亻人一一・wwgg〕
肝	〔月干󰀢・efh〕
钦	〔钅⺈人󰁶・qqwy〕
缅	〔纟丆冂三・xdmd〕
熄	〔火丿目心・othn〕
屑	〔尸⺌月󰀌・nied〕
裸	〔衤󰁧日木・pujs〕
葱	〔艹勹󰁤心・aqrn〕
垒	〔厶厶厶土・cccf〕
铀	〔钅由󰀝・qmg〕
淘	〔氵勹󰅎山・iqrm〕
摔	〔扌亠ㄠ十・ryxf〕
暑	〔日土丿日・jftj〕
哼	〔口亠口了・kykb〕
勋	〔口贝力ノ・kmet〕
悔	〔忄𠂉母󰁶・ntxy〕
钞	〔钅小丿ノ・qitt〕
垮	〔土大二ㄅ・fdfn〕
婶	〔女宀日丨・vpjh〕
嘱	〔口尸丿丶・knty〕
鹿	〔广󰁃〢匕・onjx〕
胺	〔月宀女󰀝・epvg〕
捆	〔扌囗木󰁶・rlsy〕
谅	〔讠亠口小・yyki〕
艘	〔丿󰁪臼又・teec〕
梭	〔木厶八夂・scwt〕
梨	〔禾刂木󰁧・tjsu〕
奠	〔丷西一大・usgd〕
玛	〔王󰀊一󰀝・gcgg〕
栅	〔木󰀼󰀼一・smmg〕
帘	〔宀八冂丨・pwmh〕
哑	〔口一󰅊一・kgog〕
皂	〔白七󰀅・rab〕
哦	〔口丿扌丶・ktry〕
烷	〔火宀二儿・opfq〕
喇	〔口一口刂・kgkj〕
恭	〔󰁺八⺗󰁧・awnu〕
扛	〔扌工󰀝・rag〕
苛	〔艹丁口󰀘・askf〕
秤	〔禾一丷十・tguf〕
屡	〔尸米女󰀌・novd〕
耿	〔耳火󰁶・boy〕
喘	〔口山丆〢・kmdj〕
愧	〔忄白󰁜厶・nrqc〕
爪	〔⺁丨󰂃󰀦・rhyi〕
叭	〔口八󰁶・kwy〕
逊	〔孑小辶󰀦・bipi〕
诈	〔讠𠂉丨二・ythf〕
俯	〔亻广亻寸・wowf〕
椭	〔木阝月・sbde〕
搏	〔扌一月寸・rgef〕
谨	〔讠廿口主・yakg〕
拄	〔扌丶王󰀝・rygg〕
烃	〔火ス工󰀝・ocag〕
吻	〔口勹󰁤ノ・kqrt〕
绑	〔纟三丿阝・xdtb〕
骚	〔󰀊󰀞又虫・cgcj〕
刹	〔乂木刂󰀢・rsjh〕
熬	〔主󰁡夂灬・gqto〕
胚	〔月丆卜一・edhg〕
雀	〔小亻󰁷󰀘・iwyf〕
屯	〔一凵乚󰁫・gbnv〕
拴	〔扌人王󰀝・rwgg〕
拱	〔扌󰁺八󰁶・rawy〕
舶	〔丿󰁪白󰀝・terg〕
裹	〔亠日木󰀔・yjse〕
矢	〔𠂉大󰁧・tdu〕
寡	〔宀丆󰀐刀・pdev〕
栋	〔木󰀂小󰁶・saiy〕
粤	〔丿囗米ㄅ・tlon〕
碘	〔石ㄇ󰁺八・dmaw〕
栖	〔木西󰀝・ssg〕
酱	〔丬夕西一・uqsg〕
肪	〔月方ノ・eyt〕
薯	〔艹罒土日・alfj〕
囊	〔一口丨󰀔・gkhe〕
弗	〔弓󰀯󰀵・xjk〕
惕	〔忄日勹󰁤・njqr〕
艇	〔丿󰁪丿廴・tetp〕
肿	〔月口丨󰀢・ekhh〕
汛	〔氵⺄十󰀢・infh〕
粱	〔氵刀八米・ivwo〕
敞	〔⺌冂口夂・imkt〕
冀	〔丬匕田八・uxlw〕
氓	〔亠󰄃󰁃弋・ynna〕
蜜	〔宀心丿虫・pntj〕
辐	〔车一口田・lgkl〕
钩	〔钅勹厶󰁶・qqcy〕
哗	〔口亻ヒ十・kwxf〕
廓	〔广亠口阝・oykb〕
贱	〔贝二󰅅丶・mfxy〕
聘	〔耳由一ㄅ・bmgn〕
舅	〔臼田力󰁣・eler〕
滔	〔氵爫臼󰀝・ieeg〕
忉	〔忄刀ノ・nvt〕
炕	〔火亠几󰁀・oywn〕
瞪	〔目癶一䒑・hwgu〕
狮	〔犭ノリ丨・qtjh〕
咳	〔口亠ㄥ人・kynw〕
啡	〔口丨三三・khdd〕
葫	〔艹古月󰀘・adef〕
喻	〔口人一刂・kwgj〕
樱	〔木贝贝女・smmv〕
龟	〔⺈日乚󰀅・qjnb〕
锰	〔钅子皿󰀝・qblg〕
擅	〔扌亠囗一・rylg〕
灿	〔火山󰀢・omh〕
谎	〔讠艹亠󰀸・yayk〕
坎	〔土⺈人󰁶・fqwy〕
卤	〔󰀥囗乂󰁧・hlru〕
褐	〔衤󰁧日󰄃・pujn〕
藩	〔艹氵丿田・aitl〕
毯	〔丿二乚火・tfno〕
戊	〔厂󰅅丶󰀦・dxyi〕
闸	〔门甲󰀵・ulk〕
渊	〔氵丿米丨・itoh〕
譬	〔尸口立言・nkuy〕
胳	〔月夂口󰀝・etkg〕
斋	〔文丆冂〢・ydmj〕
梢	〔木⺌月󰀝・sieg〕
崭	〔山车斤󰀬・mlrj〕
扒	〔扌八󰁶・rwy〕
凄	〔冫一󰁬女・ugvv〕
坪	〔土一丷十・fguf〕
泳	〔氵丶𠃌󰀩・iyni〕
忿	〔八刀心󰁧・wvnu〕
宦	〔宀匚丨丨・pahh〕
枣	〔一ㄇ󰅇󰁦・gmiu〕
狡	〔犭ノ亠乂・qtyr〕
鹰	〔广亻亻一・owwg〕
笨	〔⺮木一󰀘・tsgf〕
痒	〔疒䒑󰀟󰀵・uugk〕
傍	〔亻亠丷方・wyuy〕
烹	〔亠口了灬・ykbo〕
怖	〔忄冂丨・ndmh〕
匈	〔勹乂凵󰀵・qrbk〕
塌	〔土日羽󰀝・fjng〕
咖	〔口力口󰀝・kekg〕
莽	〔艹大丶廾・adya〕
尉	〔尸二小寸・nfif〕
钝	〔钅一凵乚・qgbn〕
粪	〔米󰁺八󰁧・oawu〕
迄	〔𠂉乙辶󰁫・tnpv〕
坟	〔土文󰁶・fyy〕
胃	〔田月󰀘・lef〕
郝	〔土󰁖阝󰀢・fobh〕
寥	〔宀羽人彡・pnwe〕
嘿	〔口󰀹土灬・klfo〕
兔	〔⺈口󰁜丶・qkqy〕
虹	〔虫工󰀝・jag〕
涅	〔氵日土󰀝・ijfg〕
拼	〔扌䒑廾󰀢・ruah〕
笋	〔⺮󰁬丿󰁣・tvtr〕
镶	〔钅亠口󰀔・qyke〕
嵌	〔山艹二人・mafw〕
秉	〔丿一󰁬󰅇・tgvi〕
掺	〔扌厶大彡・rcde〕
敷	〔一󰀐丨夂・geht〕
煽	〔火丶尸羽・oynn〕
氰	〔󰅎⺄主月・rnge〕
倦	〔亻䒑大⺋・wudb〕
聊	〔耳󰁚丿卩・bqtb〕
踩	〔口止爫木・khes〕
寇	〔宀二儿又・pfqc〕
哟	〔口纟勹丶・kxqy〕
糕	〔米丷王灬・ougo〕
筋	〔⺮月力󰁣・teer〕
刃	〔刀丶󰀦・vyi〕
辫	〔立纟十・udxf〕
跪	〔口止⺈⺋・khqb〕
穗	〔禾一日心・tgjn〕
扼	〔扌厂⺋󰁀・rdbn〕
庐	〔广丶尸󰀏・oyne〕
梗	〔木一日乂・sgjr〕
屿	〔山一ㄅ一・mgng〕
虏	〔󰅋七力󰀏・haee〕
沥	〔氵厂力ノ・idet〕
憾	〔忄厂一心・ndgn〕
歼	〔一夕丿十・gqtf〕
烛	〔火虫󰁶・ojy〕
诵	〔讠󰁻月丨・yceh〕
煌	〔火白王󰀝・orgg〕
釉	〔丿米由󰀝・tomg〕
枕	〔木冖󰁜󰁀・spqn〕
姨	〔女一弓人・vgxw〕
劈	〔尸口立刀・nkuv〕
卵	〔󰁚丶丿丶・qyty〕
彦	〔立丿彡󰀏・utee〕
砖	〔石二󰁓丶・dfny〕
醛	〔西一艹王・sgag〕
枉	〔木王󰀝・sgg〕
肢	〔月十又󰁶・efcy〕
蹄	〔口止亠丨・khyh〕
兜	〔白󰁚󰁃儿・rqnq〕
茨	〔艹冫⺈人・auqw〕
贬	〔贝丿之󰁶・mtpy〕
钊	〔钅刂󰀢・qjh〕
佣	〔亻月丨󰀢・wehh〕
汝	〔氵女󰀝・ivg〕
淆	〔氵乂月・irde〕
昔	〔󰁺日󰀘・ajf〕
讽	〔讠几乂󰁶・ywry〕
侮	〔亻𠂉母󰁶・wtxy〕
稠	〔禾󰀼土口・tmfk〕
翼	〔羽田󰁺八・nlaw〕
椒	〔木󰀥一又・shgc〕
钳	〔钅艹二󰀝・qafg〕
咋	〔口𠂉丨二・kthf〕
傻	〔亻丿囗夂・wtlt〕
痼	〔疒囗古󰀌・uldd〕
炊	〔火⺈人󰁶・oqwy〕
庵	〔广大日乚・odjn〕
帆	〔冂丨几丶・mhwy〕
魄	〔白白󰁜厶・rrqc〕
咯	〔口夂口󰀝・ktkg〕
耽	〔耳冖󰁜󰁀・bpqn〕
贿	〔贝月󰀝・mdeg〕
鳞	〔󰁢󰀞米丨・qgoh〕
丸	〔九丶󰀦・vyi〕
姬	〔女匚丨丨・vahh〕
匙	〔日一󰁾匕・jghx〕
盥	〔󰀗水皿󰀘・eilf〕
岐	〔山十又󰁶・mfcy〕
仓	〔人⺋󰀅・wbb〕
翰	〔十日十羽・fjfn〕
哄	〔口󰁺八󰁶・kawy〕
旷	〔日广ノ・jot〕
爵	〔爫罒彐寸・elvf〕
猴	〔犭ノ亻大・qtwd〕
趟	〔土󰁾⺌口・fhik〕
瑰	〔王白󰁜厶・grqc〕
诡	〔讠⺈厂⺋・yqdb〕
踢	〔口止日󰁤・khjr〕
淹	〔氵大日乚・idjn〕
沛	〔氵一冂丨・igmh〕
晕	〔日冖车󰀬・jplj〕
揽	〔扌〢𠂉󰁜・rjtq〕
桩	〔木广土󰀝・sofg〕
涵	〔氵了󰀪凵・ibib〕
僧	〔亻丷󰀺日・wulj〕
鹤	〔冖亻󰁷一・pwyg〕
裙	〔衤󰁧󰁬口・puvk〕
畔	〔田丷󰀟󰀢・lugh〕
耍	〔丆冂〢女・dmjv〕
灼	〔火勹丶󰁶・oqyy〕
滇	〔氵十󰀣八・ifhw〕
沦	〔氵人匕󰁀・iwxn〕
汰	〔氵大丶󰁶・idyy〕
颊	〔一丷大贝・gudm〕
膝	〔月木人氺・eswi〕
懒	〔忄一口贝・ngkm〕
兑	〔丷口儿󰀅・ukqb〕
耙	〔三󰅇巴󰁀・dicn〕
蹈	〔口止爫臼・khee〕
吼	〔口孑乚󰁀・kbnn〕
蕉	〔艹亻󰁷灬・awyo〕
嗣	〔口冂艹口・kmak〕
焉	〔一止一灬・ghgo〕
焕	〔火⺈ㄇ大・oqmd〕
汹	〔氵乂凵󰀢・irbh〕
渥	〔氵尸一土・ingf〕
辜	〔古立十󰀬・dufj〕
癌	〔疒口口山・ukkm〕
萎	〔艹禾女󰀘・atvf〕
钧	〔钅勹冫󰀝・qqug〕
陌	〔阝丆日󰀝・bdjg〕
煞	〔⺈彐夂灬・qvto〕
焚	〔木木火󰁧・ssou〕
佑	〔亻口󰀝・wdkg〕
嘲	〔口十日月・kfje〕
聂	〔耳又又󰁧・bccu〕
歉	〔䒑󰁬󰁗人・uvow〕
骆	〔󰀊󰀞夂口・cgtk〕
屁	〔尸󰁴匕󰁫・nxxv〕
桔	〔木士口󰀝・sfkg〕
惶	〔忄白王󰀝・nrgg〕
衙	〔彳五口丁・tgks〕
腻	〔月弋二丶・eafy〕
宠	〔宀ヒ丶・pdxy〕
盏	〔二󰅅丶皿・fxyl〕
袍	〔衤󰁧勹巳・puqn〕
鞲	〔廿口十土・akff〕
捍	〔扌日干󰀢・rjfh〕
锄	〔钅󰀐󰀞力・qege〕
惹	〔艹口心・adkn〕
膛	〔月⺌冖土・eipf〕
馈	〔⺈󰁐口贝・qnkm〕
蛭	〔虫一厶土・jgcf〕
膊	〔月一󰀐寸・egef〕
窜	〔宀八口丨・pwkh〕
娇	〔女丿大󰀯・vtdj〕
乞	〔𠂉乙󰀅・tnb〕
嚼	〔口爫罒寸・kelf〕
鄙	〔口十囗阝・kflb〕
猖	〔犭ノ日日・qtjj〕
绥	〔纟爫女󰀝・xevg〕
亟	〔了口又一・bkcg〕
抒	〔扌󰁻乛亅・rcnh〕
筐	〔⺮匚王󰀘・tagf〕
泣	〔氵立󰀝・iug〕
篷	〔⺮夂三辶・ttdp〕
拂	〔扌弓󰀯󰀢・rxjh〕
赃	〔贝广土󰀝・mofg〕
铵	〔钅宀女󰀝・qpvg〕
镀	〔钅广廿又・qoac〕
钓	〔钅勹丶󰁶・qqyy〕
眷	〔䒑大目󰀘・udhf〕
兹	〔䒑ㄠㄠ󰁧・uxxu〕
躯	〔丿󰀽三乂・tmdr〕
禹	〔丿口冂丶・tkmy〕
咕	〔口古󰀝・kdg〕
拣	〔扌󰀂𠃌八・ranw〕
赚	〔贝䒑󰁬󰁗・muvo〕
瓣	〔立⺁十・udrf〕
躁	〔口止口木・khks〕
耸	〔人人耳󰀘・wwbf〕
咒	〔口口几󰀅・kkwb〕
箪	〔⺮丷󰅐󰀬・tulj〕
庚	〔广󰁬人󰀦・ovwi〕
嘻	〔口士口口・kfkk〕
缕	〔纟米女󰀝・xovg〕
稚	〔禾亻󰁷󰀝・twyg〕
糙	〔米丿土辶・otfp〕
挝	〔扌寸辶󰁶・rfpy〕
扳	〔扌⺁又󰁶・rrcy〕
孢	〔孑勹巳󰁀・bqnn〕
酌	〔西一勹丶・sgqy〕
隋	〔阝工月・bdae〕
哒	〔口大辶󰁶・kdpy〕
勃	〔十冖孑力・fpbe〕
腥	〔月日丿主・ejtg〕
籽	〔米子󰀝・obg〕
尧	〔弋丿一儿・atgq〕
暮	〔艹日大日・ajdj〕
襄	〔亠口口󰀔・ykke〕
勺	〔勹丶󰀦・qyi〕
乍	〔𠂉丨二󰀘・thff〕
溅	〔氵贝二丶・imfy〕
溴	〔氵丿目丶・ithy〕
琳	〔王木木󰁶・gssy〕
澜	〔氵门一󰅇・iugi〕
豹	〔豸勹丶󰁶・eqyy〕
唧	〔口彐厶卩・kvcb〕
苟	〔艹勹口󰀘・aqkf〕
拇	〔扌母󰁶・rxy〕
叮	〔口丁󰀢・ksh〕
咐	〔口亻寸󰁶・kwfy〕
陛	〔阝󰁴匕土・bxxf〕
瀑	〔氵日󰁺氺・ijai〕
竿	〔⺮干󰀬・tfj〕
拧	〔扌宀丁󰀢・rpsh〕
珊	〔王󰀼󰀼一・gmmg〕
皖	〔白宀二儿・rpfq〕
韵	〔立日勹冫・ujqu〕
琐	〔王⺌贝󰁶・gimy〕
隘	〔阝䒑八皿・buwl〕
靖	〔立主月󰀝・ugeg〕
邢	〔一廾阝󰀢・gabh〕
玫	〔王夂󰁶・gty〕
撇	〔扌丷冂夂・rumt〕
僻	〔亻尸口十・wnkf〕
薪	〔艹立木斤・ausr〕
噪	〔口口口木・kkks〕
毙	〔󰁴匕一匕・xxgx〕
茄	〔艹力口󰀘・aekf〕
蜀	〔罒勹虫󰁧・lqju〕
煎	〔䒑月刂灬・uejo〕
棕	〔木宀二小・spfi〕
雁	〔厂亻亻󰁷・dwwy〕
彰	〔立日十彡・ujfe〕
逗	〔一口䒑辶・gkup〕
絮	〔女口ㄠ小・vkxi〕
淤	〔氵方人󰁦・iywu〕
崔	〔山亻󰁷󰀘・mwyf〕
荔	〔艹力力力・aeee〕
矫	〔𠂉大丿󰀯・tdtj〕
赌	〔贝土丿日・mftj〕
宣	〔宀一日一・pgjg〕
邹	〔⺈彐阝󰀢・qvbh〕
饷	〔⺈󰁐丿口・qntk〕
褂	〔衤󰁧土卜・pufh〕
杉	〔木彡ノ・set〕
喧	〔口宀一一・kpgg〕
赣	〔立日十贝・ujfm〕
躬	〔丿󰀽三弓・tmdx〕
痴	〔疒𠂉大口・utdk〕
撮	〔扌日耳又・rjbc〕
懈	〔忄⺈月󰀟・nqeg〕
凳	〔癶一口几・wgkw〕
沼	〔氵刀口󰀝・ivkg〕
檐	〔木⺈厂言・sqdy〕
瞿	〔目目亻󰁷・hhwy〕
卒	〔亠人人十・ywwf〕
撰	〔扌巳巳八・rnnw〕
睹	〔目土丿日・hftj〕
憎	〔忄丷󰀺日・nulj〕
璋	〔王立日十・gujf〕
韶	〔立日刀口・ujvk〕
募	〔艹日大力・ajde〕
栓	〔木人王󰀝・swgg〕
逾	〔人一月辶・wgep〕
魁	〔白󰁜厶十・rqcf〕
岚	〔山几乂󰁧・mwru〕
喃	〔口十冂十・kfmf〕
吱	〔口十又󰁶・kfcy〕
鲍	〔󰁢󰀞勹巳・qgqn〕
袜	〔衤󰁧一木・pugs〕
簇	〔⺮方𠂉大・tytd〕
琪	〔王艹三八・gadw〕
魑	〔白󰁜厶厶・rqcc〕
蒜	〔艹二小小・afii〕
疙	〔疒𠂉乙󰁫・utnv〕
寅	〔宀一由八・pgmw〕
禾	〔禾禾禾禾・tttt〕
鞑	〔廿口十辶・akfp〕
佃	〔亻田󰀝・wlg〕
揪	〔扌禾火󰁶・rtoy〕
嗯	〔口囗大心・kldn〕
粥	〔弓米弓󰁀・xoxn〕
肴	〔乂月󰀘・rdef〕
泻	〔氵冖一一・ipgg〕
巢	〔巛日木󰁧・vjsu〕
宛	〔宀夕⺋󰀅・pqbb〕
襟	〔衤󰁧木小・pusi〕
莉	〔艹禾刂󰀬・atjj〕
鞍	〔廿口十女・akfv〕
裳	〔⺌冖口󰀔・ipke〕
奕	〔亠󰁖大󰁧・yodu〕
赎	〔贝十乛大・mfnd〕
鳙	〔󰁢󰀞广丨・qgoh〕
郓	〔冖车阝󰀢・plbh〕
雯	〔󰀙文󰁧・fyu〕
蠢	〔三人日虫・dwjj〕
巍	〔山禾女厶・mtvc〕
侄	〔亻一厶土・wgcf〕
酮	〔西一冂口・sgmk〕
汞	〔工水󰁧・aiu〕
挟	〔扌一丷大・rgud〕
唆	〔口厶八夂・kcwt〕
庶	〔广廿灬󰀦・oaoi〕
瞅	〔目禾火󰁶・htoy〕
硷	〔石人一一・dwgg〕
瞒	〔目艹一人・hagw〕
眯	〔目米󰁶・hoy〕
榴	〔木󰁚丶田・sqyl〕
奢	〔大土丿日・dftj〕
岔	〔八刀山󰀬・wvmj〕
嘘	〔口󰅋七一・khag〕
槐	〔木白󰁜厶・srqc〕
坠	〔阝人土󰀘・bwff〕
瑟	〔王王心丿・ggnt〕
雹	〔󰀙勹巳󰀅・fqnb〕
缉	〔纟口耳󰀝・xkbg〕
虐	〔󰅋七匚一・haag〕
慷	〔忄广󰁬氺・novi〕
涧	〔氵门日󰀝・iujg〕
丞	〔了󰀩一󰀘・bigf〕
陋	〔阝一冂󰄃・bgmn〕
炽	〔火口八󰁶・okwy〕
烁	〔火丿󰄃小・otni〕
嚣	〔口口丆口・kkdk〕
薛	〔艹亻󰁃十・awnf〕
邑	〔口巴󰀅・kcb〕
謇	〔宀󰀀八言・pawy〕
镰	〔钅广䒑󰁗・qouo〕
熏	〔丿一󰀹灬・tglo〕
钥	〔钅月󰀝・qeg〕
麓	〔木木广匕・ssox〕
淫	〔氵爫丿士・ietf〕
剿	〔巛日木刂・vjsj〕
晤	〔日五口󰀝・jgkg〕
驯	〔󰀊󰀞川󰀢・cgkh〕
斧	〔八乂斤󰀬・wrrj〕
畸	〔田大丁口・ldsk〕
媚	〔女󰁅目󰀝・vnhg〕
剔	〔日勹󰁤刂・jqrj〕
铬	〔钅夂口󰀝・qtkg〕
羡	〔丷王冫人・uguw〕
腺	〔月白水󰁶・eriy〕
宵	〔宀⺌月󰀘・pief〕
蜕	〔虫丷口儿・jukq〕
姊	〔女丿ㄅ丿・vtnt〕
笙	〔⺮丿主󰀘・ttgf〕
墩	〔土亠口夂・fykt〕
驴	〔󰀊󰀞丶尸・cgyn〕
喳	〔口木日一・ksjg〕
蔚	〔艹尸二寸・anff〕
闺	〔门土土󰀌・uffd〕
窥	〔宀八二󰁜・pwfq〕
烙	〔火夂口󰀝・otkg〕
涯	〔氵厂土土・idff〕
噢	〔口丿ㄇ大・ktmd〕
蚊	〔虫文󰁶・jyy〕
黔	〔󰀹土灬乛・lfon〕
橙	〔木癶一䒑・swgu〕
歹	〔一夕󰀦・gqi〕
渍	〔氵主贝󰁶・igmy〕
魅	〔白󰁜厶󰅇・rqci〕
碌	〔石󰁭氺󰁶・dviy〕
睦	〔目土八土・hfwf〕
囚	〔囗人󰀦・lwi〕
溯	〔氵䒑凵月・iube〕
窒	〔宀八一土・pwgf〕
栗	〔覀木󰁧・ssu〕
芜	〔艹二󰁜󰀅・afqb〕
厄	〔厂⺋󰁫・dbv〕
搁	〔扌门夂口・rutk〕
髓	〔󰀾月辶・medp〕
糠	〔米广󰁬氺・oovi〕
伎	〔亻十又󰁶・wfcy〕
锣	〔钅罒夕󰁶・qlqy〕
桉	〔木宀女󰀝・spvg〕
楠	〔木十冂十・sfmf〕
骡	〔󰀊󰀞田小・cgli〕
躅	〔口止罒虫・khlj〕
镑	〔钅亠丷方・qyuy〕
寞	〔宀艹日大・pajd〕
腕	〔月宀夕⺋・epqb〕
狄	〔犭ノ火󰁶・qtoy〕
祺	〔礻󰁶艹八・pyaw〕
嗅	〔口丿目丶・kthy〕
彝	〔󰅂一米廾・xgoa〕
娥	〔女丿扌丶・vtry〕
俞	〔人一月刂・wgej〕
汀	〔氵丁󰀢・ish〕
惰	〔忄工月・ndae〕
殳	〔几又󰁧・wcu〕
荧	〔艹冖火󰁧・apou〕
犬	〔大丶󰀦・dyi〕
赦	〔土󰁖夂󰁶・foty〕
嘎	〔口丆目戈・kdha〕
骏	〔󰀊󰀞厶夂・cgct〕
酥	〔西一禾󰁶・sgty〕
棺	〔木宀丨󰁃・sphn〕
涩	〔氵刀丶止・ivyh〕
孰	〔亠口孑丶・ykby〕
蝇	〔虫口日乚・jkjn〕
堕	〔阝月土・bdef〕
轿	〔车丿大󰀯・ltdj〕
泌	〔氵心丿ノ・intt〕
孜	〔孑夂󰁶・bty〕
昧	〔日二󰅇󰁶・jfiy〕
迂	〔一󰀛辶󰀵・gfpk〕
妖	〔女丿大󰁶・vtdy〕
牡	〔牜土󰀝・tfg〕
缀	〔纟又又又・xccc〕
庇	〔广󰁴匕󰁫・oxxv〕
雍	〔亠󰁲丿󰁷・yxty〕
笺	〔⺮二󰅅丶・tfxy〕
妆	〔丬女󰀝・uvg〕
栩	〔木羽󰀝・sng〕
聋	〔ヒ丶耳・dxyb〕
涕	〔氵丷弓丿・iuxt〕
蝶	〔虫廿󰄃木・jans〕
稽	〔禾乚日・tdnj〕
斌	〔文二止丶・yfhy〕
耦	〔三󰅇日丶・dijy〕
怯	〔忄土厶󰁶・nfcy〕
咏	〔口丶𠃌󰀩・kyni〕
磺	〔石󰁺由八・damw〕
禀	〔亠囗口小・ylki〕
枫	〔木几乂󰁶・swry〕
伺	〔亻𠃌一口・wngk〕
釜	〔八乂干䒑・wrfu〕
楞	〔木罒方ノ・slyt〕
蕊	〔艹心心心・annn〕
眨	〔目丿之󰁶・htpy〕
戋	〔二󰅅丶󰀦・fxyi〕
咀	〔口󰀐一󰀝・kegg〕
敛	〔人一󰀧夂・wgit〕
帖	〔冂丨󰀥口・mhhk〕
呐	〔口冂人󰁶・kmwy〕
娶	〔耳又女󰀘・bcvf〕
酰	〔西一丿儿・sgtq〕
饵	〔⺈󰁐耳󰀝・qnbg〕
嗜	〔口土丿日・kftj〕
谜	〔讠米辶󰁶・yopy〕
秃	〔禾几󰀅・twb〕
挚	〔扌九丶手・rvyr〕
锢	〔钅囗古󰀝・qldg〕
逞	〔口王辶󰀌・kgpd〕
攫	〔扌目目又・rhhc〕
楷	〔木󰁴匕白・sxxr〕
旭	〔九日󰀌・vjd〕
楣	〔木󰁅目󰀝・snhg〕
藻	〔艹氵口木・aiks〕
蘖	〔艹亻󰁃木・awns〕
娱	〔女口一大・vkgd〕
酝	〔西一二厶・sgfc〕
虱	〔⺄丿虫󰀦・ntji〕
茵	〔艹囗大󰁧・aldu〕
豁	〔宀三丨口・pdhk〕
跋	〔口止丶・khdy〕
